,Benchmark Mode,Class,Fork,Full Bench,Full params,Iteration,Iteration Type,Measurement Unit,Method,Package,Score,Threads,Total Fork,Trial
0,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),1,warmup,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,11.273,1,2,2
1,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),2,warmup,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,13.620,1,2,2
2,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),3,warmup,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,11.674,1,2,2
3,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),4,warmup,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,14.102,1,2,2
4,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),5,warmup,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,13.618,1,2,2
5,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),6,warmup,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,11.737,1,2,2
6,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),7,warmup,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,15.121,1,2,2
7,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),8,warmup,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,14.934,1,2,2
8,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),9,warmup,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,13.835,1,2,2
9,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),10,warmup,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,11.774,1,2,2
10,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),11,warmup,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,14.780,1,2,2
11,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),12,warmup,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,15.124,1,2,2
12,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),13,warmup,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,14.365,1,2,2
13,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),14,warmup,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,13.748,1,2,2
14,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),15,warmup,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,14.958,1,2,2
15,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),16,warmup,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,13.948,1,2,2
16,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),17,warmup,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,14.337,1,2,2
17,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),18,warmup,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,14.963,1,2,2
18,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),19,warmup,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,13.341,1,2,2
19,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),20,warmup,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,14.327,1,2,2
20,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),1,measured,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,11.004,1,2,2
21,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),2,measured,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,13.895,1,2,2
22,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),3,measured,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,13.784,1,2,2
23,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),4,measured,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,14.745,1,2,2
24,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),5,measured,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,13.668,1,2,2
25,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),6,measured,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,14.176,1,2,2
26,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),7,measured,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,15.065,1,2,2
27,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),8,measured,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,15.126,1,2,2
28,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),9,measured,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,14.944,1,2,2
29,"Throughput, ops/time",FunctionalInterfaceTest,1.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),10,measured,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,14.948,1,2,2
30,"Throughput, ops/time",FunctionalInterfaceTest,2.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),1,warmup,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,12.231,1,2,2
31,"Throughput, ops/time",FunctionalInterfaceTest,2.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),2,warmup,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,14.431,1,2,2
32,"Throughput, ops/time",FunctionalInterfaceTest,2.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),3,warmup,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,15.610,1,2,2
33,"Throughput, ops/time",FunctionalInterfaceTest,2.0, com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala, (megamorphicWarmupLevel = 0),4,warmup,ops/s,serial_lazy_scala, com.gs.collections.impl.jmh,13.432,1,2,2
